Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6464262,MCV2,COUNTRY,NLD,EUR,Europe,YEAR,2023,,,,,,,,,81,81,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
8157577,MCV2,REGION,WPR,,,YEAR,2023,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
2776658,MCV2,COUNTRY,AUS,WPR,Western Pacific,YEAR,2022,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
9991041,MCV2,COUNTRY,STP,AFR,Africa,YEAR,2014,,,,,,,,,71,71,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
4453047,MCV2,COUNTRY,CIV,AFR,Africa,YEAR,2012,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2012,2012-01-01,2012-12-31
1227611,MCV2,COUNTRY,SUR,AMR,Americas,YEAR,2014,,,,,,,,,15,15,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
2934901,MCV2,COUNTRY,MRT,AFR,Africa,YEAR,2010,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
2960346,MCV2,COUNTRY,ETH,AFR,Africa,YEAR,2022,,,,,,,,,52,52,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
5384434,MCV2,COUNTRY,BRN,WPR,Western Pacific,YEAR,2000,,,,,,,,,95,95,,,,2025-07-14T16:23:12Z,2000,2000-01-01,2000-12-31
8563226,MCV2,COUNTRY,CIV,AFR,Africa,YEAR,2011,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
4775695,MCV2,COUNTRY,COD,AFR,Africa,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
94026,MCV2,COUNTRY,CZE,EUR,Europe,YEAR,2018,,,,,,,,,84,84,,,,2025-07-14T16:23:12Z,2018,2018-01-01,2018-12-31
258879,MCV2,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,69,69,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
265224,MCV2,COUNTRY,SYC,AFR,Africa,YEAR,2021,,,,,,,,,86,86,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
9147276,MCV2,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
9191787,MCV2,COUNTRY,MHL,WPR,Western Pacific,YEAR,2008,,,,,,,,,79,79,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
7624652,MCV2,COUNTRY,SYC,AFR,Africa,YEAR,2012,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2012,2012-01-01,2012-12-31
6242284,MCV2,COUNTRY,KOR,WPR,Western Pacific,YEAR,2023,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
7922930,MCV2,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
2385877,MCV2,COUNTRY,SVN,EUR,Europe,YEAR,2021,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
4010463,MCV2,REGION,EUR,,,YEAR,2011,,,,,,,,,83,83,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
4200858,MCV2,COUNTRY,ECU,AMR,Americas,YEAR,2009,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2009,2009-01-01,2009-12-31
968513,MCV2,COUNTRY,COM,AFR,Africa,YEAR,2005,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
